0	19	0	6	1	3	1	0	6	3	0	1	0	1	0	4	2	0	1	1	0.333333	1	1	1	6	0	2	-1	10000000000	2	4	0	0	0	1	0	0	0	0	0	0	0	32843	0	0	0	0	0
0	35	1	15	3	8	3	0	15	7	0	1	0	0.875	0	2	1.5	0	1	0.8	0.3	2	1	1.5	9	2	7	-1	10000000000	0	2	0	0	1	4	0	1	1	1	0	22	0	32844	0	0	1	1.25	1
0	22	1	9	2	5	2	0	9	4	0	1	0	0.8	0	1	2	0	1	0.5	0.2	1	1	1	5	1	4	-1	10000000000	0	2	0	0	1	3	0	1	1	1	0	22	0	32845	0	0	1	1	1
99.9999	11	1	3	2	2	2	0	3	1	0	1	0	0.5	0	1	2	0	2	0.666667	0.666667	1	1	1	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	32846	0	0	0.5	1	0
9.53674e-05	13	1	3	2	3	2	1	2	0	0	0	0	0	0	3	1.66667	0	2	1	0.666667	1	1	1	0	0	0	0	0	0	2	0	0	1	2	1	0	0	0	0	0	0	32847	0	0	0.5	1	0
48.4375	39	2	3	5	3	4	0	3	0	1	0	1	0	0.25	4	2	0	16	0.375	0.5	2	1	1.25	3	0	0	100	20	0	7	0	0	2	5	0	1	1	1	0	14	0	32849	0	0	1.2	1.4	2
1.49012e-06	42	3	5	4	3	4	1	4	2	0	2	0	0.666667	0	5	1.8	0	16	0.375	0.5	2	1	1.2	2	0	0	100	20	0	9	0	0	3	6	0	1	1	1	0	14	0	32852	0	0	1.16667	1.33333	2
0.000259839	133	16	26	14	7	7	0	26	19	7	4	2	2.71429	1	12	2.58333	0	16	0.875	0.875	3	1	1.25	13	0	0	100	20	1	52	0	4	16	28	0	2	1	1	0	58	0	32868	0	0	1.42857	1.57143	13
0.000259839	123	16	22	13	4	7	0	22	18	6	3	1	4.5	0.857143	11	2.45455	0	16	0.5	0.875	2	1	1.09091	12	0	0	100	20	0	48	0	3	16	27	0	2	1	1	0	58	0	32884	0	0	1.44444	1.59259	13
0.000519678	120	15	21	13	4	7	0	21	17	6	3	1	4.25	0.857143	11	2.45455	0	16	0.5	0.875	2	1	1.09091	12	0	0	100	20	0	46	0	3	15	26	0	2	1	1	0	58	0	32899	0	0	1.46154	1.57692	13
0.00103936	127	14	24	14	7	7	0	24	17	7	4	2	2.42857	1	12	2.58333	0	16	0.875	0.875	3	1	1.25	14	0	0	100	20	1	48	0	4	14	25	0	2	1	1	0	58	0	32913	0	0	1.36	1.56	10
0.000519678	130	15	25	14	7	7	0	25	18	7	4	2	2.57143	1	12	2.58333	0	16	0.875	0.875	3	1	1.25	13	0	0	100	20	1	50	0	4	15	27	0	2	1	1	0	58	0	32928	0	0	1.44444	1.55556	13
0.000519678	120	15	21	13	4	7	0	21	17	6	3	1	4.25	0.857143	11	2.45455	0	16	0.5	0.875	2	1	1.09091	12	0	0	100	20	0	46	0	3	15	26	0	2	1	1	0	58	0	32943	0	0	1.46154	1.57692	13
