13.4072	71	3	21	13	10	9	0	21	11	4	5	4	1.1	0.444444	0	0	0	12	0.144928	0.130435	4	0	4	-1	10000000000	0	34	0	2	3	4	0	0	0	0	0	0	0	25285	0	0	7.75	0	28
7.2765	95	4	31	17	12	9	0	31	19	8	5	4	1.58333	0.888889	0	0	0	12	0.173913	0.130435	6	0	6	-1	10000000000	0	49	0	4	4	5	0	0	0	0	0	0	0	25288	0	0	6.4	0	28
5.61329	119	5	41	21	14	9	0	41	27	12	5	4	1.92857	1.33333	0	0	0	12	0.202899	0.130435	8	0	8	-1	10000000000	0	64	0	6	5	6	0	0	0	0	0	0	0	25292	0	0	5.5	0	28
5.11891	143	6	51	25	16	9	0	51	35	16	5	4	2.1875	1.77778	0	0	0	12	0.231884	0.130435	10	0	10	-1	10000000000	0	79	0	8	6	7	0	0	0	0	0	0	0	25297	0	0	4.85714	0	28
4.62608	167	7	61	29	18	9	0	61	43	20	5	4	2.38889	2.22222	0	0	0	12	0.26087	0.130435	12	0	12	-1	10000000000	0	94	0	10	7	8	0	0	0	0	0	0	0	25303	0	0	4.375	0	28
4.4469	191	8	71	33	20	9	0	71	51	24	5	4	2.55	2.66667	0	0	0	12	0.289855	0.130435	14	0	14	-1	10000000000	0	109	0	12	8	9	0	0	0	0	0	0	0	25310	0	0	4	0	28
4.06555	215	9	81	37	22	9	0	81	59	28	5	4	2.68182	3.11111	0	0	0	12	0.318841	0.130435	16	0	16	-1	10000000000	0	124	0	14	9	10	0	0	0	0	0	0	0	25318	0	0	3.7	0	28
3.57644	239	10	91	41	24	9	0	91	67	32	5	4	2.79167	3.55556	0	0	0	12	0.347826	0.130435	18	0	18	-1	10000000000	0	139	0	16	10	11	0	0	0	0	0	0	0	25327	0	0	3.45455	0	28
3.01354	263	11	101	45	26	9	0	101	75	36	5	4	2.88462	4	0	0	0	12	0.376812	0.130435	20	0	20	-1	10000000000	0	154	0	18	11	12	0	0	0	0	0	0	0	25337	0	0	3.25	0	28
2.27374	287	12	111	49	28	9	0	111	83	40	5	4	2.96429	4.44444	0	0	0	12	0.405797	0.130435	22	0	22	-1	10000000000	0	169	0	20	12	13	0	0	0	0	0	0	0	25348	0	0	3.07692	0	28
2.11726	311	13	121	53	30	9	0	121	91	44	5	4	3.03333	4.88889	0	0	0	12	0.434783	0.130435	24	0	24	-1	10000000000	0	184	0	22	13	14	0	0	0	0	0	0	0	25360	0	0	2.92857	0	28
2.20176	357	15	140	60	38	12	0	140	102	48	8	4	2.68421	4	0	0	0	12	0.550725	0.173913	28	0	28	-1	10000000000	0	212	0	25	15	17	0	1	0	0	0	0	1	25387	0	0	2.64706	0	29
1.03018	399	17	158	66	42	12	0	158	116	54	8	6	2.7619	4.5	0	0	0	12	0.608696	0.173913	32	0	32	-1	10000000000	0	238	0	27	17	19	0	1	0	0	0	0	1	25418	0	0	2.47368	0	29
13.2307	665	31	273	105	68	12	0	273	205	93	10	7	3.01471	7.75	0	0	0	12	0.985507	0.173913	56	0	56	-1	10000000000	0	402	0	43	31	33	0	1	0	0	0	0	1	25884	0	0	1.06061	0	3
49.8948	79	3	18	12	9	10	0	18	9	2	3	1	1	0.2	1	4	0	29	0.130435	0.144928	4	2	2	100	100	0	26	0	3	3	5	0	1	0	0	0	0	1	25912	0	0	1.6	0	4
48.5445	53	1	6	9	3	8	0	6	3	1	1	1	1	0.125	0	0	0	29	0.0434783	0.115942	2	2	0	100	100	0	10	0	1	1	3	0	1	0	0	0	0	1	27044	0	0	1.66667	0	3
6.30133	79	5	28	10	13	9	0	28	15	1	6	1	1.15385	0.111111	0	0	0	8	0.590909	0.409091	6	1	5	-1	10000000000	0	39	0	5	5	10	0	2	0	0	0	0	2	27055	0	0	1.3	0	4
43.3482	75	5	26	10	12	9	0	26	14	1	7	1	1.16667	0.111111	0	0	0	8	0.545455	0.409091	5	1	4	-1	10000000000	0	37	0	5	5	10	0	2	0	0	0	0	2	27056	0	0	1.3	0	4
