,Counts,instcount,condcount,varassign,varstore,uniqload,uniqstore,globalvar,localvar,sameloadtot,samestoretot,sameloadvar,samestorevar,avgsameload,avgsamestore,functioncalls,avgFuncParam,recursiveCall,pointerAlloc,varUsed,varAssign,arrayVars,arrayStore,arrayLoad,maxArraySize,minArraySize,floatTy,intTy,floatTyArith,intTyArith,intTyLog,basicBlocks,nullComp,loopCount,avgLoopDepth,avgLoopExits,loopHighInstCnt,avgBBLoops,condTrueLoops,eqCmp,tryBlock,catchBlock,avgPred,avgSucc,sideEnt
26,0.0,268,16,70,38,40,30,4,66,30,8,17,8,0.75,0.266667,15,2.6,0,33,0.666667,0.5,27,0,12,8,8,0,126,0,20,18,28,0,2,0,0,0,0,2,101,0,0,1.6785700000000001,0,20
27,0.0,278,15,76,39,42,32,4,72,34,7,17,7,0.809524,0.21875,15,2.6,0,33,0.7,0.533333,31,2,12,8,8,0,128,0,18,16,27,0,2,0,0,0,0,2,108,0,0,1.66667,0,19
28,0.0,270,16,70,39,40,30,4,66,30,9,17,8,0.75,0.3,15,2.6,0,33,0.666667,0.5,27,0,12,8,8,0,126,0,20,18,29,0,2,0,0,0,0,2,115,0,0,1.65517,0,20
29,0.0,268,16,70,38,40,30,4,66,30,8,17,8,0.75,0.266667,15,2.6,0,33,0.666667,0.5,27,0,12,8,8,0,126,0,20,18,28,0,2,0,0,0,0,2,122,0,0,1.6785700000000001,0,20
30,0.0,259,15,66,39,39,30,4,62,27,9,16,8,0.692308,0.3,15,2.6,0,33,0.65,0.5,25,0,11,8,8,0,120,0,20,17,27,0,2,0,0,0,0,2,128,0,0,1.7037,0,20
31,0.0,257,15,66,38,39,30,4,62,27,8,16,8,0.692308,0.266667,15,2.6,0,33,0.65,0.5,25,0,11,8,8,0,120,0,20,17,26,0,2,0,0,0,0,2,134,0,0,1.7307700000000001,0,20
32,0.0,182,12,41,30,27,28,4,37,14,2,8,2,0.518519,0.07142860000000001,14,2.42857,0,33,0.45,0.466667,11,0,3,8,8,0,68,0,13,13,23,0,2,0,0,0,0,2,138,0,0,1.7391299999999998,0,18
33,0.0,250,16,66,36,38,32,4,62,28,4,17,4,0.736842,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,110,0,16,17,28,0,2,0,0,0,0,2,146,0,0,1.6428599999999998,0,19
34,0.0,295,18,82,39,44,32,4,78,38,7,18,7,0.8636360000000001,0.21875,15,2.6,0,33,0.733333,0.533333,33,2,13,8,8,0,138,0,18,19,31,0,2,0,0,0,0,2,156,0,0,1.6129,0,20
35,1.0,250,16,66,36,38,32,4,62,28,4,17,4,0.736842,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,110,0,16,17,28,0,2,0,0,0,0,2,34841,0,0,1.6785700000000001,0,20
36,1.0,256,18,68,36,38,32,4,64,30,4,18,4,0.789474,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,114,0,16,19,30,0,2,0,0,0,0,2,42979,0,0,1.7,0,22
37,1.0,268,22,72,36,38,32,4,68,34,4,19,4,0.8947370000000001,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,122,0,16,23,34,0,2,0,0,0,0,2,43265,0,0,1.6764700000000001,0,24
38,2.0,241,13,63,36,36,32,4,59,27,4,16,4,0.75,0.125,14,2.57143,0,33,0.6,0.533333,24,2,8,8,8,0,104,0,16,14,25,0,2,0,0,0,0,2,45329,0,0,1.68,0,18
