,Counts,instcount,condcount,varassign,varstore,uniqload,uniqstore,globalvar,localvar,sameloadtot,samestoretot,sameloadvar,samestorevar,avgsameload,avgsamestore,functioncalls,avgFuncParam,recursiveCall,pointerAlloc,varUsed,varAssign,maxCallDepth,minCallDepth,avgCallDepth,arrayVars,arrayStore,arrayLoad,maxArraySize,minArraySize,floatTy,intTy,floatTyArith,intTyArith,intTyLog,basicBlocks,nullComp,loopCount,avgLoopDepth,avgLoopExits,loopHighInstCnt,avgBBLoops,condTrueLoops,eqCmp,tryBlock,catchBlock,avgPred,avgSucc,sideEnt
23,0,32,2,11,1,6,1,3,8,5,0,2,0,0.833333,0.0,5,1.8,0,1,1.0,0.166667,2,1,1.6,7,0,4,-1,10000000000,0,4,0,0,2,5,0,0,0.0,0,0,0.0,0,47,0,0,1.2,0,2
24,0,25,2,8,1,5,1,2,6,3,0,2,0,0.6,0.0,4,1.5,0,1,0.833333,0.166667,2,1,1.75,5,0,3,-1,10000000000,0,4,0,0,2,4,0,0,0.0,0,0,0.0,0,49,0,0,1.25,0,2
25,0,25,2,8,1,5,1,2,6,3,0,2,0,0.6,0.0,4,1.5,0,1,0.833333,0.166667,2,1,1.75,5,0,3,-1,10000000000,0,4,0,0,2,4,0,0,0.0,0,0,0.0,0,51,0,0,1.25,0,2
26,1,18,2,5,1,4,1,1,4,1,0,1,0,0.25,0.0,3,1.0,0,1,0.666667,0.166667,2,2,2.0,3,0,2,-1,10000000000,0,4,0,0,2,3,0,0,0.0,0,0,0.0,0,53,0,0,1.33333,0,2
27,2,20,1,5,5,3,5,0,5,2,0,1,0,0.666667,0.0,2,1.5,0,3,0.5,0.833333,1,1,1.0,1,1,0,-1,10000000000,0,2,0,0,1,2,1,0,0.0,0,0,0.0,0,54,0,0,0.5,0,0
28,0,17,1,3,4,2,4,0,3,1,0,1,0,0.5,0.0,3,1.33333,0,3,0.333333,0.666667,1,1,1.0,0,0,0,0,0,0,2,0,0,1,2,1,0,0.0,0,0,0.0,0,55,0,0,0.5,0,0
29,2,12,0,3,3,2,3,0,3,1,0,1,0,0.5,0.0,1,1.0,0,2,0.5,0.75,1,1,1.0,1,0,0,-1,10000000000,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,55,0,0,0.0,0,0
30,1,138,1,43,24,3,23,0,43,40,1,2,1,13.3333,0.043478300000000004,0,0.0,0,3,0.130435,1.0,0,0,0.0,20,19,0,-1,10000000000,0,64,0,21,1,4,0,1,1.0,1,0,132.0,0,55,0,0,1.0,0,1
31,0,10,1,1,2,1,2,0,1,0,0,0,0,0.0,0.0,0,0.0,0,3,0.043478300000000004,0.0869565,0,0,0.0,0,0,0,0,0,0,2,0,0,1,3,0,1,1.0,1,0,132.0,0,55,0,0,1.0,0,1
32,1000,16,0,7,5,5,5,0,7,2,0,2,0,0.4,0.0,0,0.0,0,3,0.714286,0.714286,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,55,0,0,0.0,0,0
33,0,73,6,17,7,7,6,0,17,10,1,4,1,1.4285700000000001,0.166667,0,0.0,0,6,0.777778,0.666667,0,0,0.0,2,0,0,-1,10000000000,0,39,0,15,8,12,0,3,2.0,1,0,97.0,0,58,0,0,1.75,0,10
34,0,94,6,23,9,9,8,0,23,14,1,4,1,1.55556,0.125,0,0.0,0,6,1.0,0.8888889999999999,0,0,0.0,3,0,0,-1,10000000000,0,52,0,22,9,13,0,3,2.0,1,0,97.0,0,61,0,0,1.6923099999999998,0,10
35,0,76,7,18,7,7,6,0,18,11,1,4,1,1.5714299999999999,0.166667,0,0.0,0,6,0.777778,0.666667,0,0,0.0,2,0,0,-1,10000000000,0,41,0,15,9,13,0,3,2.0,1,0,97.0,0,65,0,0,1.6923099999999998,0,10
36,0,97,7,24,9,9,8,0,24,15,1,4,1,1.66667,0.125,0,0.0,0,6,1.0,0.8888889999999999,0,0,0.0,3,0,0,-1,10000000000,0,54,0,22,10,14,0,3,2.0,1,0,97.0,0,69,0,0,1.6428599999999998,0,10
37,0,57,6,13,7,6,6,0,13,7,1,3,1,1.16667,0.166667,0,0.0,0,6,0.666667,0.666667,0,0,0.0,1,0,0,-1,10000000000,0,27,0,8,7,12,0,3,2.0,1,0,97.0,0,72,0,0,1.66667,0,9
38,0,76,7,18,7,7,6,0,18,11,1,4,1,1.5714299999999999,0.166667,0,0.0,0,6,0.777778,0.666667,0,0,0.0,2,0,0,-1,10000000000,0,41,0,15,9,13,0,3,2.0,1,0,97.0,0,76,0,0,1.6923099999999998,0,10
39,0,97,7,24,9,9,8,0,24,15,1,4,1,1.66667,0.125,0,0.0,0,6,1.0,0.8888889999999999,0,0,0.0,3,0,0,-1,10000000000,0,54,0,22,10,14,0,3,2.0,1,0,97.0,0,80,0,0,1.6428599999999998,0,10
40,0,79,8,19,7,7,6,0,19,12,1,4,1,1.71429,0.166667,0,0.0,0,6,0.777778,0.666667,0,0,0.0,2,0,0,-1,10000000000,0,43,0,15,10,14,0,3,2.0,1,0,97.0,0,85,0,0,1.6428599999999998,0,10
41,0,100,8,25,9,9,8,0,25,16,1,4,1,1.77778,0.125,0,0.0,0,6,1.0,0.8888889999999999,0,0,0.0,3,0,0,-1,10000000000,0,56,0,22,11,15,0,3,2.0,1,0,97.0,0,90,0,0,1.6,0,10
42,0,60,7,14,7,6,6,0,14,8,1,3,1,1.33333,0.166667,0,0.0,0,6,0.666667,0.666667,0,0,0.0,1,0,0,-1,10000000000,0,29,0,8,8,13,0,3,2.0,1,0,97.0,0,94,0,0,1.61538,0,9
43,0,79,8,19,7,7,6,0,19,12,1,4,1,1.71429,0.166667,0,0.0,0,6,0.777778,0.666667,0,0,0.0,2,0,0,-1,10000000000,0,43,0,15,10,14,0,3,2.0,1,0,97.0,0,99,0,0,1.6428599999999998,0,10
44,0,100,8,25,9,9,8,0,25,16,1,4,1,1.77778,0.125,0,0.0,0,6,1.0,0.8888889999999999,0,0,0.0,3,0,0,-1,10000000000,0,56,0,22,11,15,0,3,2.0,1,0,97.0,0,104,0,0,1.6,0,10
45,0,82,9,20,7,7,6,0,20,13,1,4,1,1.8571400000000002,0.166667,0,0.0,0,6,0.777778,0.666667,0,0,0.0,2,0,0,-1,10000000000,0,45,0,15,11,15,0,3,2.0,1,0,97.0,0,110,0,0,1.6,0,10
46,0,103,9,26,9,9,8,0,26,17,1,4,1,1.8888900000000002,0.125,0,0.0,0,6,1.0,0.8888889999999999,0,0,0.0,3,0,0,-1,10000000000,0,58,0,22,12,16,0,3,2.0,1,0,97.0,0,116,0,0,1.5625,0,10
47,0,63,8,15,7,6,6,0,15,9,1,3,1,1.5,0.166667,0,0.0,0,6,0.666667,0.666667,0,0,0.0,1,0,0,-1,10000000000,0,31,0,8,9,14,0,3,2.0,1,0,97.0,0,121,0,0,1.5714299999999999,0,9
