not,34,3,6,10,3,9,0,6,3,1,3,1,1,0.111111,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,7,0,1,1,1,0,22,0,3,0,0,2,0,8
not,36,3,6,11,3,9,0,6,3,2,3,2,1,0.222222,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,8,0,1,1,1,0,22,0,6,0,0,1.875,0,8
not,36,3,6,11,3,9,0,6,3,2,3,2,1,0.222222,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,8,0,1,1,1,0,22,0,9,0,0,1.875,0,8
not,36,3,6,11,3,9,0,6,3,2,3,2,1,0.222222,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,8,0,1,1,1,0,22,0,12,0,0,1.875,0,8
not,36,3,6,11,3,9,0,6,3,2,3,2,1,0.222222,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,8,0,1,1,1,0,22,0,15,0,0,1.875,0,8
not,36,3,6,11,3,9,0,6,3,2,3,2,1,0.222222,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,8,0,1,1,1,0,22,0,18,0,0,1.875,0,8
not,36,3,6,10,3,9,0,6,3,1,3,1,1,0.111111,5,2,0,4,0.230769,0.692308,0,0,0,0,0,0,12,0,0,3,8,0,1,1,1,0,22,0,21,0,0,1.875,0,8
not,51,6,5,13,5,13,2,3,0,0,0,0,0,0,12,0.75,0,4,0.384615,1,0,0,0,0,0,0,16,0,0,6,11,0,1,1,1,0,22,0,27,0,0,1.27273,0,4
not,49,6,5,13,5,13,2,3,0,0,0,0,0,0,11,0.727273,0,4,0.384615,1,0,0,0,0,0,0,15,0,0,6,10,0,1,1,1,0,22,0,33,0,0,1.3,0,4
not,45,5,4,13,4,13,1,3,0,0,0,0,0,0,10,0.8,0,4,0.307692,1,0,0,0,0,0,0,12,0,0,5,9,0,1,1,1,0,22,0,38,0,0,1.22222,0,3
not,49,6,5,13,5,13,2,3,0,0,0,0,0,0,11,0.636364,0,4,0.384615,1,0,0,0,0,0,0,16,0,0,6,10,0,1,1,1,0,22,0,44,0,0,1.3,0,4
not,47,6,5,13,5,13,2,3,0,0,0,0,0,0,10,0.6,0,4,0.384615,1,0,0,0,0,0,0,15,0,0,6,9,0,1,1,1,0,22,0,50,0,0,1.33333,0,4
not,43,5,4,13,4,13,1,3,0,0,0,0,0,0,9,0.666667,0,4,0.307692,1,0,0,0,0,0,0,12,0,0,5,8,0,1,1,1,0,22,0,55,0,0,1.25,0,3
not,34,3,6,10,3,9,0,6,3,1,3,1,1,0.111111,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,7,0,1,1,1,0,22,0,58,0,0,2.14286,0,9
not,36,3,6,11,3,9,0,6,3,2,3,2,1,0.222222,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,8,0,1,1,1,0,22,0,61,0,0,2,0,9
not,36,3,6,11,3,9,0,6,3,2,3,2,1,0.222222,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,8,0,1,1,1,0,22,0,64,0,0,2,0,9
not,36,3,6,11,3,9,0,6,3,2,3,2,1,0.222222,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,8,0,1,1,1,0,22,0,67,0,0,2,0,9
not,36,3,6,11,3,9,0,6,3,2,3,2,1,0.222222,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,8,0,1,1,1,0,22,0,70,0,0,2,0,9
not,36,3,6,11,3,9,0,6,3,2,3,2,1,0.222222,4,2,0,4,0.230769,0.692308,0,0,0,0,0,0,11,0,0,3,8,0,1,1,1,0,22,0,73,0,0,2,0,9
not,36,3,6,10,3,9,0,6,3,1,3,1,1,0.111111,5,2,0,4,0.230769,0.692308,0,0,0,0,0,0,12,0,0,3,8,0,1,1,1,0,22,0,76,0,0,2,0,9
not,51,6,5,13,5,13,2,3,0,0,0,0,0,0,12,0.75,0,4,0.384615,1,0,0,0,0,0,0,16,0,0,6,11,0,1,1,1,0,22,0,82,0,0,1.36364,0,5
not,49,6,5,13,5,13,2,3,0,0,0,0,0,0,11,0.727273,0,4,0.384615,1,0,0,0,0,0,0,15,0,0,6,10,0,1,1,1,0,22,0,88,0,0,1.4,0,5
not,45,5,4,13,4,13,1,3,0,0,0,0,0,0,10,0.8,0,4,0.307692,1,0,0,0,0,0,0,12,0,0,5,9,0,1,1,1,0,22,0,93,0,0,1.33333,0,4
not,49,6,5,13,5,13,2,3,0,0,0,0,0,0,11,0.636364,0,4,0.384615,1,0,0,0,0,0,0,16,0,0,6,10,0,1,1,1,0,22,0,99,0,0,1.4,0,5
not,47,6,5,13,5,13,2,3,0,0,0,0,0,0,10,0.6,0,4,0.384615,1,0,0,0,0,0,0,15,0,0,6,9,0,1,1,1,0,22,0,105,0,0,1.44444,0,5
not,43,5,4,13,4,13,1,3,0,0,0,0,0,0,9,0.666667,0,4,0.307692,1,0,0,0,0,0,0,12,0,0,5,8,0,1,1,1,0,22,0,110,0,0,1.375,0,4
not,31,2,6,10,3,9,0,6,3,1,3,1,1,0.111111,3,2.33333,0,4,0.230769,0.692308,0,0,0,0,0,0,9,0,0,2,6,0,1,1,1,0,22,0,112,0,0,2.33333,0,9
not,33,2,6,11,3,9,0,6,3,2,3,2,1,0.222222,3,2.33333,0,4,0.230769,0.692308,0,0,0,0,0,0,9,0,0,2,7,0,1,1,1,0,22,0,114,0,0,2.14286,0,9
